ID,Label
1,English
2,Literary and Cultural Studies
3,Rhetoric
4,Creative Writing
5,Critical University Studies
6,Power
7,Language and the Law
8,Health
9,Digital Humanities
10,Media
11,Performance Studies
12,Gender Studies
13,History
14,Translation
15,Poetry
16,Fiction
17,Memoir
18,Drama
19,Screenwriting
20,Professional/Workplace Communication
21,Writing and Statistics
22,Networks
23,Race
24,Film
25,Propaganda
26,Print History
27,Migration
28,Literary and Cultural History
29,History of Rhetoric
30,Large Scale Text Analysis
31,Globalization
32,Mobilities
33,Empire
34,Data Privacy & Ethics
35,Virtual Reality
36,Grammar
37,Style
38,Shakespeare
39,Jane Austen
40,Ralph Ellison
41,Essay
42,International Law & Human Rights
43,Non-Fiction
44,George Orwell
45,Toni Morrison
46,Novel
47,Short Stories